traj_cluster_ra,no2_5y_z,pm25_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_prob
2,-0.8999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.14105695323697737
2,-0.7999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.14527674376320382
2,-0.7,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.14960078493512094
2,-0.5999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.15403033419522316
2,-0.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.1585665832027269
2,-0.3999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.16321065241843508
2,-0.2999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.1679635855845711
2,-0.19999999999999996,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.17282634411486233
2,-0.09999999999999987,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.17779980141193114
2,0,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.18288473713060668
2,0.10000000000000009,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.18808183140755208
2,0.20000000000000018,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.19339165907911862
2,0.30000000000000027,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.19881468391108734
2,0.40000000000000036,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.20435125286556163
2,0.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.21000159043168584
2,0.6000000000000001,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.21576579304847565
2,0.7000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.22164382364928262
2,0.8000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.22763550635878335
2,0.9000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.2337405213743126
2,1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.23995840006446512
2,1.1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.24628852031850368
2,1.2000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.2527301021807966
2,1.3000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.2592822038046346
2,1.4000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.2659437177600288
2,1.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.2727133677297434
