traj_cluster_ra,h,rs,n,prop
1,48,LOW_O2,73,0.08869987849331713
1,48,ROOM AIR,748,0.9088699878493317
1,49,IMV,2,0.002430133657351154
1,49,LOW_O2,69,0.08383961117861483
1,49,NIV,4,0.004860267314702308
1,49,ROOM AIR,748,0.9088699878493317
1,50,IMV,1,0.001215066828675577
1,50,LOW_O2,66,0.08019441069258809
1,50,NIV,4,0.004860267314702308
1,50,OTHER,1,0.001215066828675577
1,50,ROOM AIR,751,0.9125151883353585
1,51,IMV,2,0.002430133657351154
1,51,LOW_O2,66,0.08019441069258809
1,51,NIV,6,0.007290400972053463
1,51,OTHER,1,0.001215066828675577
1,51,ROOM AIR,748,0.9088699878493317
1,52,IMV,2,0.002430133657351154
1,52,LOW_O2,66,0.08019441069258809
1,52,NIV,5,0.006075334143377886
1,52,OTHER,1,0.001215066828675577
1,52,ROOM AIR,749,0.9100850546780073
1,53,IMV,1,0.001215066828675577
1,53,LOW_O2,71,0.08626974483596597
1,53,NIV,6,0.007290400972053463
1,53,OTHER,1,0.001215066828675577
1,53,ROOM AIR,744,0.9040097205346294
1,54,IMV,1,0.001215066828675577
1,54,LOW_O2,65,0.07897934386391252
1,54,NIV,7,0.00850546780072904
1,54,OTHER,1,0.001215066828675577
1,54,ROOM AIR,749,0.9100850546780073
1,55,IMV,1,0.001215066828675577
1,55,LOW_O2,67,0.08140947752126367
1,55,NIV,8,0.009720534629404616
1,55,ROOM AIR,747,0.9076549210206561
1,56,IMV,1,0.001215066828675577
1,56,LOW_O2,70,0.0850546780072904
1,56,NIV,7,0.00850546780072904
1,56,ROOM AIR,745,0.905224787363305
1,57,IMV,3,0.0036452004860267314
1,57,LOW_O2,72,0.08748481166464156
1,57,NIV,8,0.009720534629404616
1,57,ROOM AIR,740,0.8991494532199271
1,58,IMV,3,0.0036452004860267314
1,58,LOW_O2,74,0.0899149453219927
1,58,NIV,9,0.010935601458080195
1,58,ROOM AIR,737,0.8955042527339003
1,59,IMV,3,0.0036452004860267314
1,59,LOW_O2,68,0.08262454434993925
1,59,NIV,9,0.010935601458080195
1,59,ROOM AIR,743,0.9027946537059538
1,60,IMV,4,0.004860267314702308
1,60,LOW_O2,66,0.08019441069258809
1,60,NIV,8,0.009720534629404616
1,60,ROOM AIR,745,0.905224787363305
1,61,IMV,4,0.004860267314702308
1,61,LOW_O2,58,0.07047387606318348
1,61,NIV,7,0.00850546780072904
1,61,ROOM AIR,754,0.9161603888213852
1,62,IMV,4,0.004860267314702308
1,62,LOW_O2,57,0.0692588092345079
1,62,NIV,5,0.006075334143377886
1,62,ROOM AIR,757,0.9198055893074119
1,63,IMV,3,0.0036452004860267314
1,63,LOW_O2,56,0.06804374240583232
1,63,NIV,4,0.004860267314702308
1,63,ROOM AIR,760,0.9234507897934386
1,64,IMV,3,0.0036452004860267314
1,64,LOW_O2,61,0.07411907654921021
1,64,NIV,3,0.0036452004860267314
1,64,ROOM AIR,756,0.9185905224787363
1,65,IMV,3,0.0036452004860267314
1,65,LOW_O2,59,0.07168894289185905
1,65,NIV,3,0.0036452004860267314
1,65,ROOM AIR,758,0.9210206561360875
1,66,IMV,4,0.004860267314702308
1,66,LOW_O2,60,0.07290400972053462
1,66,NIV,3,0.0036452004860267314
1,66,ROOM AIR,756,0.9185905224787363
1,67,IMV,4,0.004860267314702308
1,67,LOW_O2,59,0.07168894289185905
1,67,NIV,3,0.0036452004860267314
1,67,ROOM AIR,757,0.9198055893074119
1,68,IMV,4,0.004860267314702308
1,68,LOW_O2,56,0.06804374240583232
1,68,NIV,3,0.0036452004860267314
1,68,ROOM AIR,760,0.9234507897934386
1,69,IMV,4,0.004860267314702308
1,69,LOW_O2,61,0.07411907654921021
1,69,NIV,4,0.004860267314702308
1,69,ROOM AIR,754,0.9161603888213852
1,70,IMV,4,0.004860267314702308
1,70,LOW_O2,59,0.07168894289185905
1,70,NIV,6,0.007290400972053463
1,70,ROOM AIR,754,0.9161603888213852
1,71,IMV,4,0.004860267314702308
1,71,LOW_O2,66,0.08019441069258809
1,71,NIV,6,0.007290400972053463
1,71,ROOM AIR,747,0.9076549210206561
1,72,IMV,4,0.004860267314702308
1,72,LOW_O2,65,0.07897934386391252
1,72,NIV,6,0.007290400972053463
1,72,ROOM AIR,748,0.9088699878493317
2,0,IMV,56,0.09572649572649573
2,0,LOW_O2,360,0.6153846153846154
2,0,NIV,135,0.23076923076923078
2,0,OTHER,2,0.003418803418803419
2,0,ROOM AIR,32,0.0547008547008547
2,1,IMV,55,0.09401709401709402
2,1,LOW_O2,374,0.6393162393162393
2,1,NIV,128,0.2188034188034188
2,1,OTHER,1,0.0017094017094017094
2,1,ROOM AIR,27,0.046153846153846156
2,2,IMV,53,0.0905982905982906
