pooled_cluster,pooled_cluster_label,h,arf,n,prop
1,Cluster 1: Minimal ARF,63,Hypoxemic ARF,7,0.0016482222745467388
1,Cluster 1: Minimal ARF,63,No ARF,4238,0.9978808570755827
1,Cluster 1: Minimal ARF,64,Hypercapnic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,64,Hypoxemic ARF,6,0.0014127619496114904
1,Cluster 1: Minimal ARF,64,No ARF,4238,0.9978808570755827
1,Cluster 1: Minimal ARF,65,Hypercapnic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,65,Hypoxemic ARF,7,0.0016482222745467388
1,Cluster 1: Minimal ARF,65,Mixed ARF,1,2.354603249352484e-4
1,Cluster 1: Minimal ARF,65,No ARF,4236,0.9974099364257123
1,Cluster 1: Minimal ARF,66,Hypercapnic ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,66,Hypoxemic ARF,7,0.0016482222745467388
1,Cluster 1: Minimal ARF,66,Mixed ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,66,No ARF,4236,0.9974099364257123
1,Cluster 1: Minimal ARF,67,Hypercapnic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,67,Hypoxemic ARF,5,0.0011773016246762421
1,Cluster 1: Minimal ARF,67,Mixed ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,67,No ARF,4237,0.9976453967506476
1,Cluster 1: Minimal ARF,68,Hypercapnic ARF,4,9.418412997409936e-4
1,Cluster 1: Minimal ARF,68,Hypoxemic ARF,5,0.0011773016246762421
1,Cluster 1: Minimal ARF,68,Mixed ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,68,No ARF,4236,0.9974099364257123
1,Cluster 1: Minimal ARF,69,Hypercapnic ARF,4,9.418412997409936e-4
1,Cluster 1: Minimal ARF,69,Hypoxemic ARF,5,0.0011773016246762421
1,Cluster 1: Minimal ARF,69,Mixed ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,69,No ARF,4236,0.9974099364257123
1,Cluster 1: Minimal ARF,70,Hypercapnic ARF,4,9.418412997409936e-4
1,Cluster 1: Minimal ARF,70,Hypoxemic ARF,4,9.418412997409936e-4
1,Cluster 1: Minimal ARF,70,Mixed ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,70,No ARF,4236,0.9974099364257123
1,Cluster 1: Minimal ARF,71,Hypercapnic ARF,6,0.0014127619496114904
1,Cluster 1: Minimal ARF,71,Hypoxemic ARF,4,9.418412997409936e-4
1,Cluster 1: Minimal ARF,71,Mixed ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,71,No ARF,4234,0.9969390157758418
1,Cluster 1: Minimal ARF,72,Hypercapnic ARF,5,0.0011773016246762421
1,Cluster 1: Minimal ARF,72,Hypoxemic ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,72,Mixed ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,72,No ARF,4238,0.9978808570755827
2,Cluster 2: Resolving ARF,0,Hypercapnic ARF,75,0.01917668115571465
