county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
48451,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
48453,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
51000,Hopkins,32,2,0.59375,5,1.1918820588067638,32,0.59375,2,1.1918820588067638
51001,Hopkins,5,3,0.6,2,0.6730116670092565,NA,NA,NA,NA
51005,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
51013,Hopkins,70,5,0.5142857142857142,5,1.2533179581287133,70,0.5142857142857142,5,1.2533179581287133
51019,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
51027,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
51031,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
51041,Hopkins,3,2,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
51047,Hopkins,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
51059,Hopkins,219,1,0.4063926940639269,5,1.3614869323300471,219,0.4063926940639269,1,1.3614869323300471
51061,Hopkins,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
51069,Hopkins,8,1,0.375,4,1.2554823251787535,NA,NA,NA,NA
51087,Hopkins,2,3,1,1,-0,NA,NA,NA,NA
51095,Hopkins,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
51099,Hopkins,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
51107,Hopkins,36,5,0.4444444444444444,5,1.4200423895136218,36,0.4444444444444444,5,1.4200423895136218
51137,Hopkins,16,1,1,1,-0,16,1,1,-0
51139,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
51143,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
51153,Hopkins,30,3,0.43333333333333335,5,1.3655230860155625,30,0.43333333333333335,3,1.3655230860155625
51155,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
51157,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
51161,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
51163,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
51165,Hopkins,2,4,1,1,-0,NA,NA,NA,NA
51171,Hopkins,4,1,0.25,4,1.3862943611198906,NA,NA,NA,NA
51177,Hopkins,6,4,0.5,3,1.0114042647073518,NA,NA,NA,NA
51179,Hopkins,4,4,0.5,3,1.0397207708399179,NA,NA,NA,NA
51187,Hopkins,20,3,0.8,4,0.7083465777061715,20,0.8,3,0.7083465777061715
51199,Hopkins,32,2,0.5,2,0.6931471805599453,32,0.5,2,0.6931471805599453
51510,Hopkins,78,3,0.4358974358974359,5,1.2812628714032996,78,0.4358974358974359,3,1.2812628714032996
51550,Hopkins,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
51600,Hopkins,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
51610,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
51630,Hopkins,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
51680,Hopkins,3,4,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
51683,Hopkins,3,3,1,1,-0,NA,NA,NA,NA
51700,Hopkins,4,2,0.5,3,1.0397207708399179,NA,NA,NA,NA
51710,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
51740,Hopkins,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
51760,Hopkins,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
51775,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
51800,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
51810,Hopkins,3,3,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
51820,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
51840,Hopkins,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
53005,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
54000,Hopkins,27,4,0.6296296296296297,5,1.13317258746509,27,0.6296296296296297,4,1.13317258746509
54003,Hopkins,101,2,0.37623762376237624,5,1.258758512134563,101,0.37623762376237624,2,1.258758512134563
54011,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
54019,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
54023,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
54027,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
