county_code,traj_cluster_ra,n,county_total,prop_cluster_in_county,cluster_total,prop_county_in_cluster,n_suppressed,prop_cluster_in_county_suppressed,prop_county_in_cluster_suppressed,site_name
17093,1,18,56,0.32142857142857145,1275,0.01411764705882353,18,0.32142857142857145,0.01411764705882353,RUSH
17093,2,18,56,0.32142857142857145,686,0.026239067055393587,18,0.32142857142857145,0.026239067055393587,RUSH
17093,3,9,56,0.16071428571428573,1240,0.007258064516129033,NA,NA,NA,RUSH
17093,4,7,56,0.125,194,0.03608247422680412,NA,NA,NA,RUSH
17093,5,4,56,0.07142857142857142,322,0.012422360248447204,NA,NA,NA,RUSH
17095,2,1,2,0.5,686,0.0014577259475218659,NA,NA,NA,RUSH
17095,3,1,2,0.5,1240,8.064516129032258e-4,NA,NA,NA,RUSH
17097,1,20,56,0.35714285714285715,1275,0.01568627450980392,20,0.35714285714285715,0.01568627450980392,RUSH
17097,2,18,56,0.32142857142857145,686,0.026239067055393587,18,0.32142857142857145,0.026239067055393587,RUSH
17097,3,12,56,0.21428571428571427,1240,0.00967741935483871,12,0.21428571428571427,0.00967741935483871,RUSH
17097,4,4,56,0.07142857142857142,194,0.020618556701030927,NA,NA,NA,RUSH
17097,5,2,56,0.03571428571428571,322,0.006211180124223602,NA,NA,NA,RUSH
17099,1,2,8,0.25,1275,0.001568627450980392,NA,NA,NA,RUSH
17099,2,3,8,0.375,686,0.004373177842565598,NA,NA,NA,RUSH
17099,3,3,8,0.375,1240,0.0024193548387096775,NA,NA,NA,RUSH
17103,1,1,2,0.5,1275,7.84313725490196e-4,NA,NA,NA,RUSH
17103,3,1,2,0.5,1240,8.064516129032258e-4,NA,NA,NA,RUSH
17105,2,1,1,1,686,0.0014577259475218659,NA,NA,NA,RUSH
17111,1,7,18,0.3888888888888889,1275,0.005490196078431373,NA,NA,NA,RUSH
17111,2,3,18,0.16666666666666666,686,0.004373177842565598,NA,NA,NA,RUSH
17111,3,6,18,0.3333333333333333,1240,0.004838709677419355,NA,NA,NA,RUSH
17111,4,2,18,0.1111111111111111,194,0.010309278350515464,NA,NA,NA,RUSH
17113,1,2,4,0.5,1275,0.001568627450980392,NA,NA,NA,RUSH
17113,3,1,4,0.25,1240,8.064516129032258e-4,NA,NA,NA,RUSH
17113,4,1,4,0.25,194,0.005154639175257732,NA,NA,NA,RUSH
17115,1,1,2,0.5,1275,7.84313725490196e-4,NA,NA,NA,RUSH
17115,2,1,2,0.5,686,0.0014577259475218659,NA,NA,NA,RUSH
17139,4,1,1,1,194,0.005154639175257732,NA,NA,NA,RUSH
17141,1,1,9,0.1111111111111111,1275,7.84313725490196e-4,NA,NA,NA,RUSH
17141,2,3,9,0.3333333333333333,686,0.004373177842565598,NA,NA,NA,RUSH
17141,3,4,9,0.4444444444444444,1240,0.0032258064516129032,NA,NA,NA,RUSH
17141,5,1,9,0.1111111111111111,322,0.003105590062111801,NA,NA,NA,RUSH
17143,1,1,1,1,1275,7.84313725490196e-4,NA,NA,NA,RUSH
17145,3,1,1,1,1240,8.064516129032258e-4,NA,NA,NA,RUSH
17157,1,1,1,1,1275,7.84313725490196e-4,NA,NA,NA,RUSH
17161,2,2,2,1,686,0.0029154518950437317,NA,NA,NA,RUSH
17163,1,1,2,0.5,1275,7.84313725490196e-4,NA,NA,NA,RUSH
