county_fips,county_total,dominant_cluster,dominant_cluster_prop,worst_cluster_prop,mean_severity_rank,pooled_cluster_label,dominant_cluster_phenotype
42109,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
42111,2,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
42115,10,5,0.5,0.5,3.5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42117,7,5,0.42857142857142855,0.42857142857142855,3.2857142857142856,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42119,33,2,0.9696969696969697,0.030303030303030304,2.090909090909091,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
42125,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
42127,12,1,0.4166666666666667,0.25,3,Cluster 1: Room air / No ARF,Room air / No ARF
42129,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
42131,10,5,0.4,0.4,3.9,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
42133,121,1,0.5371900826446281,0.17355371900826447,2.231404958677686,Cluster 1: Room air / No ARF,Room air / No ARF
44001,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
44007,2,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
44009,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
45003,5,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
45007,5,4,0.6,0.6,3,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
45011,2,4,0.5,0.5,4.5,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
45013,4,1,0.5,0.25,2.5,Cluster 1: Room air / No ARF,Room air / No ARF
45015,4,3,0.75,0.25,3.5,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
45017,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
45019,3,3,0.6666666666666666,0.6666666666666666,2.6666666666666665,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
45025,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
45027,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
45033,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
45035,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
