site_name,stratum,pooled_cluster_label,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75,pooled_cluster
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,icu_los_hours,,continuous,21954,367.2166045165146,481.07387212526896,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,imv_hours_72h,,continuous,21954,27.785870456408876,19.72178649195074,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,imv_hours_icu,,continuous,21954,116.7208253621207,235.014742924398,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,no2_1y,,continuous,21126,6.842459487935071,2.901183923235782,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,no2_3y,,continuous,21126,7.209751467767058,3.0421420580166294,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,no2_5y,,continuous,21126,7.652285824418924,3.2065266196441162,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,pm25_1y,,continuous,21126,8.068299389907967,1.4164976541513281,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,pm25_3y,,continuous,21126,7.770915368074812,1.0205624921603094,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,pm25_5y,,continuous,21126,7.718456876949971,0.8910296361213288,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,sofa_cns,,continuous,21954,3.033479092648264,1.2719067104309751,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,sofa_coag,,continuous,21954,0.6642069782272022,0.9979830669674534,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,sofa_cv,,continuous,21954,2.5788922292065233,1.5916390130383011,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,sofa_liver,,continuous,21954,0.45782089824177835,0.8684597284815059,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,sofa_renal,,continuous,21954,1.176368771066776,1.2543569604580327,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,sofa_resp,,continuous,21954,3.3432631866630214,0.9778480409108434,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,sofa_total,,continuous,21954,11.254031156053571,3.9589306720248816,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,vaso_hours_72h,,continuous,21954,23.000136649357735,21.50153890881055,,,,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,vaso_mean_72h,,continuous,21954,0.765874100391728,0.4234608962925659,,,,5
