county_code,traj_cluster_ra,n,county_total,prop_cluster_in_county,cluster_total,prop_county_in_cluster,n_suppressed,prop_cluster_in_county_suppressed,prop_county_in_cluster_suppressed,site_name
46005,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
46007,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
46009,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
46011,2,1,3,0.3333333333333333,1351,7.401924500370096e-4,NA,NA,NA,umn
46011,3,1,3,0.3333333333333333,3180,3.1446540880503143e-4,NA,NA,NA,umn
46011,4,1,3,0.3333333333333333,3128,3.1969309462915604e-4,NA,NA,NA,umn
46013,1,1,4,0.25,4199,2.3815194093831864e-4,NA,NA,NA,umn
46013,4,3,4,0.75,3128,9.590792838874681e-4,NA,NA,NA,umn
46023,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
46025,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
46029,5,1,1,1,1490,6.711409395973154e-4,NA,NA,NA,umn
46047,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
46053,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
46061,5,1,1,1,1490,6.711409395973154e-4,NA,NA,NA,umn
46063,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
46083,2,2,4,0.5,1351,0.0014803849000740192,NA,NA,NA,umn
46083,3,1,4,0.25,3180,3.1446540880503143e-4,NA,NA,NA,umn
46083,4,1,4,0.25,3128,3.1969309462915604e-4,NA,NA,NA,umn
46099,1,6,15,0.4,4199,0.0014289116456299119,NA,NA,NA,umn
46099,2,4,15,0.26666666666666666,1351,0.0029607698001480384,NA,NA,NA,umn
46099,3,2,15,0.13333333333333333,3180,6.289308176100629e-4,NA,NA,NA,umn
46099,4,3,15,0.2,3128,9.590792838874681e-4,NA,NA,NA,umn
46103,2,1,3,0.3333333333333333,1351,7.401924500370096e-4,NA,NA,NA,umn
46103,3,1,3,0.3333333333333333,3180,3.1446540880503143e-4,NA,NA,NA,umn
46103,4,1,3,0.3333333333333333,3128,3.1969309462915604e-4,NA,NA,NA,umn
46105,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
46109,2,1,3,0.3333333333333333,1351,7.401924500370096e-4,NA,NA,NA,umn
46109,5,2,3,0.6666666666666666,1490,0.0013422818791946308,NA,NA,NA,umn
46121,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
46123,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
46129,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
47165,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
47189,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
48053,5,1,1,1,1490,6.711409395973154e-4,NA,NA,NA,umn
48157,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
48201,2,1,5,0.2,1351,7.401924500370096e-4,NA,NA,NA,umn
48201,3,2,5,0.4,3180,6.289308176100629e-4,NA,NA,NA,umn
48201,4,1,5,0.2,3128,3.1969309462915604e-4,NA,NA,NA,umn
48201,5,1,5,0.2,1490,6.711409395973154e-4,NA,NA,NA,umn
48215,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
48423,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
48491,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
49011,5,1,1,1,1490,6.711409395973154e-4,NA,NA,NA,umn
49053,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
51059,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
51153,2,1,2,0.5,1351,7.401924500370096e-4,NA,NA,NA,umn
51153,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
51179,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
51199,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
51810,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
53011,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
53033,3,1,2,0.5,3180,3.1446540880503143e-4,NA,NA,NA,umn
53033,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
53061,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
53067,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
55003,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
55005,1,5,10,0.5,4199,0.0011907597046915933,NA,NA,NA,umn
55005,2,3,10,0.3,1351,0.0022205773501110288,NA,NA,NA,umn
55005,3,1,10,0.1,3180,3.1446540880503143e-4,NA,NA,NA,umn
55005,4,1,10,0.1,3128,3.1969309462915604e-4,NA,NA,NA,umn
55007,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
55013,1,8,21,0.38095238095238093,4199,0.0019052155275065491,NA,NA,NA,umn
55013,2,3,21,0.14285714285714285,1351,0.0022205773501110288,NA,NA,NA,umn
55013,3,5,21,0.23809523809523808,3180,0.0015723270440251573,NA,NA,NA,umn
55013,4,4,21,0.19047619047619047,3128,0.0012787723785166241,NA,NA,NA,umn
55013,5,1,21,0.047619047619047616,1490,6.711409395973154e-4,NA,NA,NA,umn
55017,1,1,6,0.16666666666666666,4199,2.3815194093831864e-4,NA,NA,NA,umn
55017,2,2,6,0.3333333333333333,1351,0.0014803849000740192,NA,NA,NA,umn
55017,3,2,6,0.3333333333333333,3180,6.289308176100629e-4,NA,NA,NA,umn
55017,5,1,6,0.16666666666666666,1490,6.711409395973154e-4,NA,NA,NA,umn
55025,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
55031,2,2,8,0.25,1351,0.0014803849000740192,NA,NA,NA,umn
55031,3,4,8,0.5,3180,0.0012578616352201257,NA,NA,NA,umn
55031,4,2,8,0.25,3128,6.393861892583121e-4,NA,NA,NA,umn
55033,1,3,4,0.75,4199,7.144558228149559e-4,NA,NA,NA,umn
55033,3,1,4,0.25,3180,3.1446540880503143e-4,NA,NA,NA,umn
55035,1,1,8,0.125,4199,2.3815194093831864e-4,NA,NA,NA,umn
55035,2,1,8,0.125,1351,7.401924500370096e-4,NA,NA,NA,umn
55035,3,3,8,0.375,3180,9.433962264150943e-4,NA,NA,NA,umn
55035,4,2,8,0.25,3128,6.393861892583121e-4,NA,NA,NA,umn
55035,5,1,8,0.125,1490,6.711409395973154e-4,NA,NA,NA,umn
55057,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
55063,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
55063,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
55073,1,2,3,0.6666666666666666,4199,4.763038818766373e-4,NA,NA,NA,umn
55073,4,1,3,0.3333333333333333,3128,3.1969309462915604e-4,NA,NA,NA,umn
55079,1,1,6,0.16666666666666666,4199,2.3815194093831864e-4,NA,NA,NA,umn
55079,2,2,6,0.3333333333333333,1351,0.0014803849000740192,NA,NA,NA,umn
55079,4,2,6,0.3333333333333333,3128,6.393861892583121e-4,NA,NA,NA,umn
55079,5,1,6,0.16666666666666666,1490,6.711409395973154e-4,NA,NA,NA,umn
55091,2,1,2,0.5,1351,7.401924500370096e-4,NA,NA,NA,umn
55091,3,1,2,0.5,3180,3.1446540880503143e-4,NA,NA,NA,umn
55093,1,7,27,0.25925925925925924,4199,0.0016670635865682305,NA,NA,NA,umn
55093,2,2,27,0.07407407407407407,1351,0.0014803849000740192,NA,NA,NA,umn
55093,3,3,27,0.1111111111111111,3180,9.433962264150943e-4,NA,NA,NA,umn
55093,4,10,27,0.37037037037037035,3128,0.00319693094629156,NA,NA,NA,umn
55093,5,5,27,0.18518518518518517,1490,0.003355704697986577,NA,NA,NA,umn
