traj_cluster_ra,h,rs,n
1,26,LOW_O2,19
1,29,LOW_O2,19
1,30,LOW_O2,19
1,31,LOW_O2,19
1,32,LOW_O2,19
2,62,ROOM AIR,19
3,51,LOW_O2,19
3,53,LOW_O2,19
3,60,LOW_O2,19
3,61,LOW_O2,19
3,71,LOW_O2,19
4,1,NIV,19
1,27,LOW_O2,20
2,60,ROOM AIR,20
2,61,ROOM AIR,20
3,66,LOW_O2,20
3,67,LOW_O2,20
3,68,LOW_O2,20
4,0,NIV,20
2,63,ROOM AIR,21
3,63,LOW_O2,21
3,64,LOW_O2,21
3,65,LOW_O2,21
3,72,LOW_O2,21
1,25,LOW_O2,22
3,62,LOW_O2,22
3,69,LOW_O2,22
3,70,LOW_O2,22
1,18,LOW_O2,23
1,19,LOW_O2,23
2,11,NIV,23
2,12,NIV,23
2,64,ROOM AIR,23
1,17,LOW_O2,25
2,65,ROOM AIR,25
1,16,LOW_O2,28
2,9,NIV,28
2,10,NIV,28
2,66,ROOM AIR,30
2,8,NIV,31
2,67,ROOM AIR,31
2,68,ROOM AIR,32
2,70,ROOM AIR,32
2,71,ROOM AIR,32
2,72,ROOM AIR,32
2,69,ROOM AIR,33
2,7,NIV,35
1,15,LOW_O2,37
2,4,NIV,38
2,5,NIV,39
2,6,NIV,39
1,14,LOW_O2,40
2,2,NIV,42
3,62,NIV,42
3,69,NIV,42
3,70,NIV,42
3,63,NIV,43
3,64,NIV,43
3,65,NIV,43
3,72,NIV,43
2,3,NIV,44
3,66,NIV,44
3,67,NIV,44
3,68,NIV,44
2,1,NIV,45
3,60,NIV,45
3,61,NIV,45
3,71,NIV,45
1,10,LOW_O2,46
1,13,LOW_O2,46
3,51,NIV,46
3,53,NIV,46
3,50,NIV,47
3,58,NIV,47
3,59,NIV,47
1,9,LOW_O2,48
1,12,LOW_O2,48
2,0,NIV,48
3,47,NIV,48
1,11,LOW_O2,49
3,45,NIV,49
3,49,NIV,49
3,52,NIV,49
3,54,NIV,49
3,56,NIV,49
3,57,NIV,49
1,7,LOW_O2,50
3,48,NIV,50
3,55,NIV,50
1,8,LOW_O2,51
3,44,NIV,51
3,46,NIV,51
1,6,LOW_O2,52
1,5,LOW_O2,53
3,43,NIV,55
3,42,NIV,56
3,41,NIV,57
3,1,NIV,58
3,2,NIV,58
3,10,NIV,58
3,0,NIV,59
3,8,NIV,59
3,18,NIV,59
3,19,NIV,59
3,27,NIV,59
3,33,NIV,59
3,34,NIV,59
3,6,NIV,60
3,7,NIV,60
3,9,NIV,60
3,12,NIV,60
3,17,NIV,60
3,22,NIV,60
3,24,NIV,60
3,25,NIV,60
3,28,NIV,60
3,29,NIV,60
3,40,NIV,60
1,3,LOW_O2,61
3,3,NIV,61
3,4,NIV,61
3,11,NIV,61
3,13,NIV,61
3,20,NIV,61
3,23,NIV,61
3,26,NIV,61
3,35,NIV,61
3,36,NIV,61
1,4,LOW_O2,62
3,15,NIV,62
3,16,NIV,62
3,21,NIV,62
3,38,NIV,62
3,39,NIV,62
3,5,NIV,63
3,14,NIV,63
3,31,NIV,63
3,32,NIV,63
3,37,NIV,63
1,1,LOW_O2,64
3,30,NIV,64
1,2,LOW_O2,65
1,0,LOW_O2,66
4,0,IMV,77
4,71,IMV,80
4,72,IMV,80
4,70,IMV,81
4,1,IMV,82
4,69,IMV,82
4,68,IMV,83
4,66,IMV,84
4,67,IMV,84
4,2,IMV,85
4,63,IMV,85
4,64,IMV,85
4,65,IMV,85
1,0,ROOM AIR,86
1,1,ROOM AIR,86
4,61,IMV,87
4,62,IMV,87
1,2,ROOM AIR,88
4,3,IMV,89
4,60,IMV,89
4,59,IMV,90
4,4,IMV,91
4,57,IMV,91
4,58,IMV,91
1,3,ROOM AIR,93
1,4,ROOM AIR,93
4,5,IMV,93
4,56,IMV,93
4,6,IMV,95
4,7,IMV,95
4,55,IMV,95
4,49,IMV,96
4,50,IMV,96
4,51,IMV,96
4,52,IMV,96
4,53,IMV,96
4,54,IMV,96
4,8,IMV,98
4,48,IMV,98
4,45,IMV,99
4,46,IMV,99
4,47,IMV,99
4,9,IMV,100
4,10,IMV,100
4,11,IMV,100
4,12,IMV,100
4,13,IMV,100
4,14,IMV,100
4,44,IMV,100
4,15,IMV,101
4,16,IMV,101
4,17,IMV,101
4,42,IMV,101
4,43,IMV,101
1,5,ROOM AIR,102
4,18,IMV,102
4,19,IMV,102
4,20,IMV,102
4,22,IMV,102
4,23,IMV,102
4,24,IMV,102
4,36,IMV,102
4,40,IMV,102
4,41,IMV,102
4,21,IMV,103
4,25,IMV,103
4,29,IMV,103
4,30,IMV,103
4,31,IMV,103
4,32,IMV,103
4,34,IMV,103
4,35,IMV,103
4,37,IMV,103
4,39,IMV,103
1,6,ROOM AIR,104
1,8,ROOM AIR,104
4,26,IMV,104
4,33,IMV,104
4,38,IMV,104
1,7,ROOM AIR,105
4,27,IMV,105
4,28,IMV,105
1,9,ROOM AIR,108
1,10,ROOM AIR,110
2,0,LOW_O2,111
1,11,ROOM AIR,112
1,12,ROOM AIR,114
2,1,LOW_O2,116
1,13,ROOM AIR,117
2,3,LOW_O2,117
2,2,LOW_O2,119
1,14,ROOM AIR,124
2,4,LOW_O2,124
2,5,LOW_O2,126
1,15,ROOM AIR,127
2,6,LOW_O2,127
2,7,LOW_O2,132
2,8,LOW_O2,136
1,16,ROOM AIR,137
2,9,LOW_O2,137
2,10,LOW_O2,137
1,17,ROOM AIR,139
1,18,ROOM AIR,142
1,19,ROOM AIR,142
1,25,ROOM AIR,144
2,11,LOW_O2,144
2,12,LOW_O2,145
2,69,LOW_O2,146
2,70,LOW_O2,146
2,71,LOW_O2,146
2,72,LOW_O2,146
1,20,ROOM AIR,147
1,22,ROOM AIR,147
1,23,ROOM AIR,147
1,26,ROOM AIR,147
1,27,ROOM AIR,147
2,66,LOW_O2,147
2,68,LOW_O2,147
1,21,ROOM AIR,148
2,67,LOW_O2,148
1,24,ROOM AIR,149
1,28,ROOM AIR,149
1,29,ROOM AIR,150
1,30,ROOM AIR,150
1,31,ROOM AIR,151
1,32,ROOM AIR,151
2,13,LOW_O2,151
2,65,LOW_O2,152
2,63,LOW_O2,154
2,64,LOW_O2,154
1,33,ROOM AIR,155
2,14,LOW_O2,155
2,15,LOW_O2,155
2,16,LOW_O2,156
2,62,LOW_O2,156
1,35,ROOM AIR,157
1,36,ROOM AIR,157
1,57,ROOM AIR,158
1,58,ROOM AIR,158
2,17,LOW_O2,158
2,18,LOW_O2,158
2,61,LOW_O2,158
1,34,ROOM AIR,159
1,51,ROOM AIR,159
2,19,LOW_O2,159
2,20,LOW_O2,159
2,60,LOW_O2,159
1,37,ROOM AIR,160
1,39,ROOM AIR,160
1,40,ROOM AIR,160
1,52,ROOM AIR,160
1,53,ROOM AIR,160
1,56,ROOM AIR,160
1,59,ROOM AIR,160
1,60,ROOM AIR,160
1,62,ROOM AIR,160
2,24,LOW_O2,160
1,54,ROOM AIR,161
1,55,ROOM AIR,161
1,65,ROOM AIR,161
2,23,LOW_O2,161
2,59,LOW_O2,161
1,38,ROOM AIR,162
1,45,ROOM AIR,162
1,46,ROOM AIR,162
1,61,ROOM AIR,162
1,63,ROOM AIR,162
2,21,LOW_O2,162
2,22,LOW_O2,162
2,55,LOW_O2,162
2,56,LOW_O2,162
1,41,ROOM AIR,163
1,49,ROOM AIR,163
1,50,ROOM AIR,163
1,64,ROOM AIR,163
1,66,ROOM AIR,163
1,72,ROOM AIR,163
2,25,LOW_O2,163
2,50,LOW_O2,163
2,51,LOW_O2,163
1,42,ROOM AIR,164
1,43,ROOM AIR,164
1,44,ROOM AIR,164
1,47,ROOM AIR,164
1,48,ROOM AIR,164
1,67,ROOM AIR,164
1,68,ROOM AIR,164
1,71,ROOM AIR,164
2,57,LOW_O2,164
2,58,LOW_O2,164
1,69,ROOM AIR,165
1,70,ROOM AIR,165
2,26,LOW_O2,165
2,53,LOW_O2,165
2,54,LOW_O2,165
2,46,LOW_O2,166
2,49,LOW_O2,166
2,27,LOW_O2,167
2,47,LOW_O2,167
2,52,LOW_O2,167
2,44,LOW_O2,168
2,48,LOW_O2,168
2,28,LOW_O2,169
2,29,LOW_O2,169
2,45,LOW_O2,169
2,43,LOW_O2,171
2,41,LOW_O2,172
2,30,LOW_O2,173
2,42,LOW_O2,173
2,40,LOW_O2,174
2,31,LOW_O2,176
2,39,LOW_O2,176
2,36,LOW_O2,177
2,37,LOW_O2,177
2,35,LOW_O2,178
2,38,LOW_O2,178
2,32,LOW_O2,179
2,33,LOW_O2,180
2,34,LOW_O2,181
1,2,NIV,<10
