traj_cluster_ra,h,arf,n
1,5,ARF_MIXED,<10
1,6,ARF_HYPER,<10
1,6,ARF_HYPOX,<10
1,6,ARF_MIXED,<10
1,7,ARF_HYPER,<10
1,7,ARF_HYPOX,<10
1,7,ARF_MIXED,<10
1,8,ARF_HYPER,<10
1,8,ARF_HYPOX,<10
1,8,ARF_MIXED,<10
1,9,ARF_HYPER,<10
1,9,ARF_HYPOX,<10
1,9,ARF_MIXED,<10
1,10,ARF_HYPER,<10
1,10,ARF_HYPOX,<10
1,10,ARF_MIXED,<10
1,11,ARF_HYPER,<10
1,11,ARF_HYPOX,<10
1,11,ARF_MIXED,<10
1,12,ARF_HYPER,<10
1,12,ARF_HYPOX,<10
1,12,ARF_MIXED,<10
1,13,ARF_HYPER,<10
1,13,ARF_HYPOX,<10
1,14,ARF_HYPER,<10
1,14,ARF_HYPOX,<10
1,15,ARF_HYPER,<10
1,15,ARF_HYPOX,<10
1,16,ARF_HYPER,<10
1,16,ARF_HYPOX,<10
1,17,ARF_HYPER,<10
1,17,ARF_HYPOX,<10
1,18,ARF_HYPER,<10
1,18,ARF_HYPOX,<10
1,19,ARF_HYPER,<10
1,19,ARF_HYPOX,<10
1,19,ARF_MIXED,<10
1,20,ARF_HYPER,<10
1,20,ARF_HYPOX,<10
1,20,ARF_MIXED,<10
1,21,ARF_HYPER,<10
1,21,ARF_HYPOX,<10
1,21,ARF_MIXED,<10
1,22,ARF_HYPER,<10
1,22,ARF_MIXED,<10
1,23,ARF_HYPER,<10
1,23,ARF_MIXED,<10
1,24,ARF_HYPER,<10
1,24,ARF_MIXED,<10
1,25,ARF_HYPER,<10
1,25,ARF_MIXED,<10
1,26,ARF_HYPER,<10
1,26,ARF_MIXED,<10
1,27,ARF_HYPER,<10
1,27,ARF_MIXED,<10
1,28,ARF_HYPER,<10
1,28,ARF_MIXED,<10
1,29,ARF_HYPER,<10
1,29,ARF_MIXED,<10
1,30,ARF_MIXED,<10
1,31,ARF_MIXED,<10
1,32,ARF_MIXED,<10
1,33,ARF_MIXED,<10
1,34,ARF_HYPER,<10
1,34,ARF_MIXED,<10
1,35,ARF_HYPER,<10
1,35,ARF_MIXED,<10
1,36,ARF_HYPER,<10
1,36,ARF_MIXED,<10
